Lat,Lon,Sats,Speed,GPS_Alt,Dist,Time,Alt,AX,AY,AZ,GX,GY,GZ,MX,MY,MZ
36.076062,-79.008241,9,0.12,154.5,-8.36,3831003,-8.36,-8.35813,1.11326,-4.60738,-0.00397,0.03085,-0.04536,10.08477,27.14119,-3.08389
36.07606,-79.008237,9,0.9,154.5,-8.07,3831803,-8.07,-8.07099,1.88375,-4.23231,-0.06032,0.05651,-0.23091,11.73633,26.55656,-1.94388
36.07606,-79.008237,9,0.9,154.4,-7.91,3832003,-7.91,-7.90529,2.86301,-5.29472,-0.11057,-0.19258,-0.06429,12.05788,27.4335,-2.42619
36.076063,-79.008231,9,1.71,154.4,-7.26,3832803,-7.26,-7.25564,2.3671,-4.64267,0.17272,0.08827,-0.35552,11.45864,22.80035,-1.08156
36.076063,-79.008231,9,1.71,154.4,-7.98,3833003,-7.98,-7.97707,2.41555,-5.28634,-0.13928,0.00183,0.17364,11.54633,26.17656,-1.79772
36.076062,-79.008225,9,1.31,154.4,-8.15,3833803,-8.15,-8.15175,2.31745,-4.54457,-0.11606,0.1321,-0.1967,8.9886,27.44811,-4.51622
36.076062,-79.008225,9,1.31,154,-7.85,3834003,-7.85,-7.84906,2.2989,-4.96391,0.06964,0.20006,-0.47342,7.83397,25.03654,-5.67086
36.076063,-79.008219,9,1.19,154,-8.29,3834803,-8.29,-8.28515,2.0991,-5.1021,-0.24633,-0.08919,-0.01649,5.75855,25.91348,-9.77784
36.076063,-79.008219,9,1.19,154.2,-8.29,3835003,-8.29,-8.28934,1.91366,-4.69532,-0.30864,-0.02001,0.15592,5.78778,26.83426,-9.52938
36.076067,-79.008216,9,1.16,154.2,-7.5,3835803,-7.5,-7.49791,2.57827,-4.10608,-0.1547,0.02245,-0.09911,4.00468,24.67115,-10.37708
36.076067,-79.008216,9,1.16,154.7,-8.16,3836003,-8.16,-8.15893,2.69073,-4.5009,-0.01268,0.15394,-0.09148,3.66852,24.83192,-10.90324
36.076068,-79.008212,9,0.94,154.7,-8.34,3836803,-8.34,-8.34258,1.68993,-5.01835,-0.17486,0.02169,0.06857,4.63315,30.18123,-12.65712
36.076068,-79.008212,9,0.94,154.8,-9.69,3837003,-9.69,-9.68674,1.24187,-4.63011,-0.23763,-0.02871,0.07315,4.07775,29.33353,-12.9202
36.076071,-79.008211,9,1.13,154.8,-7.26,3837803,-7.26,-7.25982,1.57268,-5.59382,-0.23946,0.05498,0.00794,3.52236,26.87811,-13.60713
36.076071,-79.008211,9,1.13,154.8,-11.56,3838003,-11.56,-11.55913,2.91266,-5.95155,0.32483,0.30986,-0.83261,2.3385,26.29348,-14.25022
36.076073,-79.008208,9,1.04,154.8,-8.93,3838803,-8.93,-8.9342,3.31226,-7.94537,-0.13073,-0.36835,-0.68402,2.66004,24.65653,-11.85326
