Lat,Lon,Sats,Speed,GPS_Alt,Dist,Time,Alt,AX,AY,AZ,GX,GY,GZ,MX,MY,MZ
36.07899,-79.008064,4,0.24,131.1,-4.47,141529,-4.47,-4.47099,1.90289,8.64228,-0.01359,0.0084,0.01313,6.25548,-1.33002,-40.22216
36.079017,-79.008075,4,0.06,134.3,-4.45,142529,-4.45,-4.44646,1.9005,8.65484,-0.00504,0.00519,0.01145,6.43087,-0.92078,-39.76907
36.078981,-79.008051,4,0.29,130.3,-4.47,143529,-4.47,-4.46919,1.90768,8.57707,-0.00825,0.00489,0.00993,6.29933,-1.69541,-39.1406
36.078977,-79.008042,4,0.03,130.4,-4.46,144529,-4.46,-4.46082,1.89751,8.64946,-0.00825,0.00748,0.01283,6.21163,-1.79772,-39.18445
36.078983,-79.008036,4,0.18,131.9,-4.44,145529,-4.44,-4.44048,1.90289,8.64826,-0.01115,0.00764,0.01206,6.21163,-1.25694,-39.02368
36.078978,-79.008041,4,0.36,130.8,-4.46,146529,-4.46,-4.46261,1.89751,8.65125,-0.00932,0.0087,0.01313,6.75241,-1.03771,-40.19292
36.078958,-79.008043,6,0.15,127.1,-4.44,147529,-4.44,-4.43629,1.89512,8.6357,-0.011,0.00489,0.01558,6.54779,-1.79772,-38.65829
36.078953,-79.00805,6,0.14,125.1,-4.44,148529,-4.44,-4.43869,1.90349,8.65125,-0.00748,0.00626,0.01191,7.08857,-1.7831,-38.70213
36.078948,-79.008054,6,0.12,123.8,-4.44,149529,-4.44,-4.43809,1.89751,8.68834,-0.01329,0.00687,0.01038,6.6501,-1.63695,-39.35984
36.078955,-79.008027,6,0.15,127.3,-4.44,150529,-4.44,-4.44168,1.91785,8.67638,-0.00397,0.00733,0.01405,6.63549,-1.47618,-39.30138
36.078955,-79.008019,6,0.06,128,-4.45,151529,-4.45,-4.45304,1.89691,8.62613,-0.011,-0.00275,0.01222,6.88395,-1.38848,-40.03215
36.078954,-79.008009,6,0.09,128.7,-4.4,152529,-4.4,-4.40459,1.89512,8.67638,-0.00825,0.0087,0.01069,6.70856,-1.16925,-39.18445
36.078943,-79.008006,6,0.17,127.8,-4.48,153529,-4.48,-4.48236,1.91366,8.62014,-0.01344,0.02337,0.00809,7.07396,-1.97311,-40.57293
36.078936,-79.008004,6,0.31,127.1,-4.49,154529,-4.49,-4.49372,1.90768,8.68834,-0.02046,0.0087,0.01481,6.75241,-1.94388,-39.47676
36.078933,-79.007998,6,0.12,127.2,-4.44,155529,-4.44,-4.4357,1.90349,8.69253,-0.00962,0.00702,0.01084,6.98626,-1.49079,-38.93598
36.078933,-79.007996,6,0.35,127.4,-4.42,156529,-4.42,-4.41835,1.87717,8.62732,-0.00199,0.00977,0.01726,6.86934,-1.85618,-38.54136
36.078933,-79.007995,6,0.38,127.7,-4.43,157529,-4.43,-4.42612,1.89811,8.67159,-0.01008,0.0058,0.01313,6.06548,-1.72464,-39.4183
36.078933,-79.007992,6,0.2,128.4,-4.46,158529,-4.46,-4.46441,1.88076,8.66262,-0.00702,0.00596,0.00993,6.31394,-2.03157,-39.75446
36.078938,-79.007974,6,0.03,130.9,-4.46,159529,-4.46,-4.46022,1.89332,8.67338,-0.00702,0,0.01222,7.13242,-1.56387,-38.87752
36.078938,-79.007974,6,0.25,130.6,-4.45,160529,-4.45,-4.44766,1.9017,8.64706,-0.01161,0.00657,0.01405,7.07396,-1.49079,-38.55598
36.078938,-79.007975,6,0.05,130.5,-4.45,161529,-4.45,-4.44826,1.89571,8.63988,-0.00825,0.00672,0.01222,6.75241,-1.41771,-39.08214
36.078933,-79.007977,6,0.14,129.6,-4.3,162529,-4.3,-4.30409,1.91486,8.70629,-0.00916,0.00046,0.01542,6.47471,-0.9354,-39.75446
36.078936,-79.007981,6,0.01,129.7,-4.44,163529,-4.44,-4.43689,1.89033,8.63869,-0.00901,0.00626,0.01283,6.95703,-1.15463,-39.73984
