Lat,Lon,Sats,Speed,GPS_Alt,Dist,Time,Alt,AX,AY,AZ,GX,GY,GZ,MX,MY,MZ
0,0,0,0,0,5.39,203,5.39,5.39223,-2.25284,7.8347,0.12813,-0.46472,-0.44379,51.71003,19.19029,-75.35808
0,0,0,0,0,5.71,403,5.71,5.71466,-1.95733,7.59362,0.12752,-0.47235,-0.44746,52.8062,15.65332,-74.99269
0,0,0,0,0,5.79,603,5.79,5.79123,-1.83111,7.54876,0.13317,-0.46869,-0.44486,53.47852,15.58024,-74.32037
36.07914,-79.008215,7,0.58,152.3,5.9,803,5.9,5.89831,-1.79402,7.74078,0.13057,-0.46853,-0.44624,52.9962,16.41333,-74.52499
0,0,0,0,0,5.84,1003,5.84,5.84267,-1.74856,7.66182,0.13118,-0.47266,-0.44181,53.23005,14.61561,-74.72961
0,0,0,0,0,5.89,1203,5.89,5.89233,-1.57508,7.80898,0.13057,-0.4725,-0.44578,54.07775,13.79714,-75.08039
0,0,0,0,0,5.94,1403,5.94,5.93659,-1.89452,7.75992,0.13011,-0.46777,-0.44624,53.80006,14.11868,-75.50423
0,0,0,0,0,5.89,1603,5.89,5.88575,-1.73779,7.80479,0.13164,-0.47037,-0.44731,53.8439,13.49021,-75.69424
36.07913,-79.008173,8,0.16,146.6,5.87,1803,5.87,5.8678,-1.82572,8.03031,0.1295,-0.4722,-0.44547,53.17159,13.12482,-75.27039
0,0,0,0,0,5.93,2003,5.93,5.92882,-1.56132,7.66959,0.12874,-0.47006,-0.44593,53.82929,13.87021,-74.93423
0,0,0,0,0,5.97,2203,5.97,5.97249,-1.72343,7.80898,0.00977,0.02016,0.09499,54.3116,14.76177,-74.80269
0,0,0,0,0,5.82,2403,5.82,5.82114,-1.67438,7.81615,-0.15333,0.18082,0.02489,54.09237,14.3233,-74.23268
0,0,0,0,0,6.01,2603,6.01,6.00539,-1.80538,7.63849,-0.15256,0.07315,-0.00657,54.04853,13.50482,-73.89652
36.079088,-79.008113,9,0.1,138.1,5.72,2803,5.72,5.72244,-1.51525,7.58525,0.00641,0.06231,-0.14432,54.3116,13.18328,-74.04268
0,0,0,0,0,6.17,3003,6.17,6.17229,-1.46142,7.85982,0.00428,-0.00153,0.04352,53.99006,12.68635,-74.96346
0,0,0,0,0,5.96,3203,5.96,5.96052,-1.44766,7.69292,-0.09087,0.03253,0.07315,55.18854,12.29173,-74.37884
0,0,0,0,0,5.99,3403,5.99,5.98565,-1.32383,7.58764,-0.04169,0.04841,-0.02932,54.53084,12.16019,-74.65653
0,0,0,0,0,6,3603,6,5.99821,-1.45543,7.83051,-0.05345,0.00611,0.03726,54.95469,11.76557,-74.78808
36.079067,-79.008081,8,0.07,133.7,6.11,3803,6.11,6.11486,-1.25623,7.77966,-0.02642,0.00825,0.01038,54.44315,11.25402,-73.83806
0,0,0,0,0,3.14,4003,3.14,3.13759,-0.55573,4.71087,-1.30771,0.60415,0.89202,55.247,8.03858,-72.93189
0,0,0,0,0,4.6,4203,4.6,4.60319,0.52283,6.76571,0.20678,0.00107,0.48564,55.36393,-2.0608,-72.01111
0,0,0,0,0,7.01,4403,7.01,7.00798,5.10269,7.92503,0.07254,0.75946,1.85321,57.38089,-9.58784,-68.9126
0,0,0,0,0,7.75,4603,7.75,7.74916,7.74317,7.06301,0.75289,0.60751,1.4957,55.51009,-10.42093,-68.6349
36.079049,-79.00806,8,1.54,132,4.11,4803,4.11,4.11087,6.2668,5.55255,0.40516,0.09056,0.5226,55.32008,-8.18474,-69.89185
0,0,0,0,0,4.74,5003,4.74,4.74497,6.94158,5.9683,-0.00611,0.36133,0.24984,55.13008,-7.62935,-70.33031
0,0,0,0,0,3.91,5203,3.91,3.91047,6.24048,6.32722,0.13271,0.14539,-0.05513,56.85472,-7.57089,-69.93569
