Lat,Lon,Sats,Speed,GPS_Alt,Dist,Time,Alt,AX,AY,AZ,GX,GY,GZ,MX,MY,MZ
36.076078,-79.008617,8,1.12,149,8.68,2147403,8.68,8.68296,-5.70808,2.60937,0.63393,-0.37614,-0.03253,68.70798,33.57205,-62.87635
36.076078,-79.008617,8,1.12,146.7,7.36,2147603,7.36,7.36391,-6.49532,3.01795,0.69608,-0.30452,0.30299,67.87489,36.84595,-61.91172
36.076085,-79.008612,8,0.09,146.7,7.35,2148403,7.35,7.34716,-4.89153,3.95593,0.3036,0.41905,0.09499,63.44636,47.09149,-56.28471
36.076085,-79.008612,8,0.09,146.1,7.24,2148603,7.24,7.24427,-4.77548,1.08814,-0.07941,-0.29978,0.31734,64.93715,46.90149,-54.34083
36.076089,-79.008612,8,0.94,146.1,7.01,2149403,7.01,7.00738,-4.11326,3.999,-0.07804,-0.34621,-0.15882,67.8895,49.45922,-43.89067
36.076089,-79.008612,8,0.94,145.6,7.88,2149603,7.88,7.87777,-4.47338,3.72204,-0.39294,-0.21105,0.05742,65.78486,51.41771,-40.83601
36.076096,-79.008605,8,1.59,145.6,8.01,2150403,8.01,8.00878,-4.31366,0.31645,0.35216,0.06261,-0.16661,66.76411,49.04998,-46.62379
36.076096,-79.008605,8,1.59,145,8.03,2150603,8.03,8.0339,-4.733,2.48794,0.52382,-0.27611,0.13989,66.53025,50.6577,-43.04297
36.076102,-79.008606,8,1.27,145,6.63,2151403,6.63,6.62991,-4.90648,4.57448,-0.34544,0.21701,-0.22037,68.0649,50.54078,-38.26367
36.076102,-79.008606,8,1.27,145.8,8.5,2151603,8.5,8.50409,-5.02852,4.29631,-0.96425,0.12477,-0.45296,65.22946,51.97311,-43.05759
36.076108,-79.008604,8,2.26,145.8,7.37,2152403,7.37,7.37049,-4.05404,0.6682,0.09499,-0.34407,0.12034,65.68255,50.76001,-44.943
36.076108,-79.008604,8,2.26,146.4,8.28,2152603,8.28,8.28096,-4.18086,1.84367,0.39798,-0.04093,-0.13042,65.71178,52.20696,-42.39988
36.07612,-79.0086,8,2.27,146.4,7.55,2153403,7.55,7.55115,-3.71187,3.92842,-0.48136,0.4247,-0.00244,64.68869,50.01461,-48.50921
36.07612,-79.0086,7,2.27,146.2,8.22,2153603,8.22,8.22114,-4.41236,4.06541,-0.42165,0.12126,-0.14279,64.74715,48.90383,-49.56153
36.07613,-79.00859,7,1.85,146.2,8.24,2154403,8.24,8.24327,-3.97089,1.92802,0.96318,-0.22129,-0.19334,67.11488,48.2169,-47.95382
36.07613,-79.00859,7,1.85,145.6,8.73,2154603,8.73,8.72782,-3.4349,3.55454,0.66126,-0.24221,-0.11942,64.92254,51.57849,-43.94914
36.076138,-79.008584,7,1.42,145.6,7.52,2155403,7.52,7.52064,-4.57508,3.12921,-0.5087,0.0058,-0.25015,61.44402,50.70155,-52.32388
36.076138,-79.008584,7,1.42,145.6,9.35,2155603,9.35,9.35295,-4.92981,3.73879,-0.38759,0.65607,0.14157,62.70096,47.95382,-55.32008
36.076147,-79.008584,7,1.82,145.6,9.16,2156403,9.16,9.16092,-3.18305,3.49352,0.47785,-0.28833,-0.17853,65.14177,50.8477,-45.07454
36.076147,-79.008584,7,1.82,145.2,8.88,2156603,8.88,8.87558,-5.24208,4.53081,-0.97021,-0.22663,-0.12019,66.53025,50.32154,-46.63841
36.07616,-79.008581,7,1.4,145.2,8.95,2157403,8.95,8.94676,-3.35175,4.55833,-0.69929,1.00121,-0.1127,63.7679,40.70448,-61.67787
36.07616,-79.008581,7,1.4,143.2,8.13,2157603,8.13,8.12782,-5.32403,3.41755,-0.67745,0.43845,-0.09132,66.99795,32.75358,-64.64484
36.076166,-79.008576,7,0.74,143.2,7.95,2158403,7.95,7.94955,-4.3023,3.17946,0.37522,-0.30604,0.26786,64.87869,40.66063,-61.73633
36.076166,-79.008576,7,0.74,142.5,7.55,2158603,7.55,7.55294,-6.15075,4.62772,0.03619,-0.00015,-0.18601,63.22713,42.44373,-60.45016
36.076174,-79.008572,7,1.21,142.5,8.5,2159403,8.5,8.49871,-3.94397,3.89492,-0.27978,0.34438,0.11316,63.41713,38.97983,-63.69483
36.076174,-79.008572,8,1.21,142.1,8.43,2159603,8.43,8.4335,-4.87597,3.21476,0.16356,0.08888,0.02443,66.8518,35.79362,-63.49021
36.076178,-79.008572,8,0.67,142.1,8.38,2160403,8.38,8.38146,-3.61855,3.65324,0.38469,-0.22144,0.17623,63.89944,50.13154,-49.51768
36.076178,-79.008572,8,0.67,141.8,8.81,2160603,8.81,8.81097,-8.16551,3.82612,-0.04383,-0.09591,-0.23534,64.92254,50.38,-48.66998
36.076184,-79.00857,8,1.48,141.8,7.99,2161403,7.99,7.99442,-5.41615,1.34656,0.02642,0.48549,0.01405,67.59719,42.23911,-57.92166
36.076184,-79.00857,8,1.48,141.5,6.76,2161603,6.76,6.75913,-4.74975,1.05165,0.16784,-0.20265,0.34606,67.72874,44.10991,-54.60392
36.076191,-79.008568,8,0.96,141.5,7.76,2162403,7.76,7.75873,-3.54138,1.69711,-1.35536,0.64294,0.93004,64.95177,51.09617,-44.19761
36.076191,-79.008568,8,0.96,141.2,7.56,2162603,7.56,7.56371,-5.64347,1.58943,-0.23595,-0.06002,-0.11102,66.26717,49.26922,-47.55919
36.0762,-79.008563,8,2.03,141.2,7.52,2163403,7.52,7.52303,-4.43869,2.40718,-0.75778,-0.03864,0.29948,72.44958,40.80678,-51.06694
36.0762,-79.008563,8,2.03,141,7.44,2163603,7.44,7.43988,-4.87538,0.15972,-0.17013,0.04749,-0.32422,72.12804,37.94212,-54.72084
36.076205,-79.008561,8,0.7,141,8.77,2164403,8.77,8.77149,-3.45823,2.79661,0.10889,-0.13073,0.05192,64.95177,50.43847,-47.41304
36.076205,-79.008561,8,0.7,141,8.99,2164603,8.99,8.99163,-7.32981,3.88235,0.51328,0.5455,-0.23717,65.21485,50.59924,-46.60918
36.076208,-79.008555,8,1.84,141,8.97,2165403,8.97,8.97488,-6.43849,1.20778,0.43173,-0.19364,-0.25443,68.03566,38.04443,-60.52324
36.076208,-79.008555,8,1.84,140.7,7.71,2165603,7.71,7.70788,-3.81177,0.52642,0.62217,0.10201,0.05253,68.00643,40.52908,-57.64396
36.076212,-79.008554,8,0.68,140.7,9.86,2166403,9.86,9.85723,-4.77607,3.31286,-0.42394,-0.00168,0.03986,63.56329,48.46536,-52.07542
36.076212,-79.008554,8,0.68,140.7,8.26,2166603,8.26,8.26122,-7.55115,2.98265,0.62446,0.32437,-0.37736,61.95557,47.99766,-54.1216
36.076216,-79.00855,8,1.43,140.7,8.09,2167403,8.09,8.08654,-6.68914,3.95593,-1.03404,-0.2642,0.1912,63.62175,42.54604,-60.12862
