Lat,Lon,Sats,Speed,GPS_Alt,Dist,Time,Alt,AX,AY,AZ,GX,GY,GZ,MX,MY,MZ
36.078976,-79.008135,9,0.1,137.7,7.73,2514603,7.73,7.72762,-4.27717,4.10728,0.27122,-0.1095,0.09743,73.89652,45.57147,-34.47822
36.078978,-79.008135,9,0.21,137.7,7.71,2515403,7.71,7.70668,-4.32981,4.08634,0.25595,-0.15501,0.09484,76.79041,41.6691,-30.7074
36.078978,-79.008135,9,0.21,138,7.74,2515603,7.74,7.74138,-4.29871,4.12343,0.23839,-0.09942,0.19105,77.87196,39.84215,-30.25431
36.078978,-79.008139,9,0.25,138,7.79,2516403,7.79,7.78684,-4.25384,4.14975,0.26221,-0.17654,0.04841,80.64893,35.16515,-28.86583
36.078978,-79.008139,9,0.25,138,7.69,2516603,7.69,7.68515,-4.39262,4.0684,0.26237,-0.07926,0.14798,81.39433,33.92283,-28.44198
36.078976,-79.008142,9,0.22,138,7.77,2517403,7.77,7.76531,-4.34716,4.12762,0.19807,-0.0985,0.25549,84.27361,28.17889,-28.17889
36.078976,-79.008142,9,0.22,138.4,7.77,2517603,7.77,7.7689,-4.17488,4.15454,0.29215,-0.08125,0.05544,85.26746,26.17656,-28.82198
36.078973,-79.008145,9,0.31,138.4,7.86,2518403,7.86,7.85504,-4.32503,4.07079,0.25168,-0.11637,0.08323,86.87518,21.22186,-28.98275
36.078973,-79.008145,9,0.31,138.6,7.68,2518603,7.68,7.68395,-4.34297,4.11207,0.23335,-0.18402,0.04811,86.90441,20.95878,-30.32739
36.078972,-79.008145,9,0.22,138.6,7.85,2519403,7.85,7.85265,-4.42433,4.10967,0.17379,-0.14676,0.2219,87.50365,16.60333,-32.62204
36.078972,-79.008145,9,0.22,138.4,7.77,2519603,7.77,7.7671,-4.2018,4.14856,0.25107,-0.11316,0.08231,87.88366,14.68869,-34.82899
36.078972,-79.008144,9,0.35,138.4,7.75,2520403,7.75,7.75334,-4.2658,4.16232,0.25351,-0.11041,0.07789,88.46828,11.64864,-38.68752
36.078972,-79.008144,9,0.35,138.3,7.75,2520603,7.75,7.75215,-4.29213,4.1324,0.23931,-0.09881,0.12614,87.62058,10.74247,-39.91523
36.078975,-79.008145,9,0.18,138.3,7.73,2521403,7.73,7.733,-4.24965,4.09232,0.23549,-0.07529,0.11912,87.09441,7.98012,-44.51915
36.078975,-79.008145,9,0.18,138.2,7.83,2521603,7.83,7.8347,-4.30947,4.10309,0.23457,-0.15119,0.03146,86.20287,8.27244,-45.89301
36.078979,-79.00815,9,0.54,138.2,7.72,2522403,7.72,7.72164,-4.4004,4.10549,0.21121,-0.10843,0.12752,84.12745,8.27244,-50.48232
36.078979,-79.00815,9,0.54,138.2,7.8,2522603,7.8,7.79582,-4.29571,4.1671,0.18051,-0.10599,0.19013,83.92283,7.04472,-51.11079
36.078982,-79.00815,9,0.15,138.2,7.67,2523403,7.67,7.6678,-4.24367,4.18086,0.23305,-0.05818,0.09835,81.87664,8.69629,-56.62087
36.078982,-79.00815,9,0.15,138.1,7.73,2523603,7.73,7.73181,-4.27179,4.10489,0.2529,-0.09499,0.00764,80.88278,8.90091,-56.8401
36.078982,-79.008148,9,0.26,138.1,7.87,2524403,7.87,7.86581,-4.44527,4.02712,0.18647,-0.1576,0.08476,78.73429,11.76557,-60.31862
36.078982,-79.008148,9,0.26,138.2,7.77,2524603,7.77,7.77488,-4.33579,3.98644,0.19563,-0.093,0.11637,77.6235,12.51096,-61.02017
36.078985,-79.008149,9,0.12,138.2,7.79,2525403,7.79,7.78684,-4.30888,4.09113,0.21502,-0.01772,0.12614,76.05963,15.33177,-63.92868
36.078985,-79.008149,9,0.12,138.4,7.8,2525603,7.8,7.8,-4.30648,4.1677,0.16157,-0.18158,0.07208,74.96346,16.28179,-63.9579
36.078986,-79.008149,9,0.1,138.4,7.8,2526403,7.8,7.79582,-4.32682,4.04626,0.15898,-0.16707,0.07636,72.47881,20.44724,-66.55949
36.078986,-79.008149,9,0.1,139,7.73,2526603,7.73,7.73121,-4.30349,4.28136,0.18097,-0.09988,0.0759,71.26571,21.20725,-67.01257
36.078987,-79.008149,9,0.29,139,7.84,2527403,7.84,7.84008,-4.28435,4.12642,0.20663,0.00901,0.08445,69.54107,24.64192,-67.40719
36.078987,-79.008149,9,0.29,139.5,7.72,2527603,7.72,7.71685,-4.3328,4.133,0.16997,-0.06567,0.10721,69.19029,26.19117,-66.51564
36.078989,-79.008148,9,0.43,139.5,7.84,2528403,7.84,7.8359,-4.26102,4.07199,0.14997,-0.10278,0.0817,67.34873,29.43584,-66.25256
36.078989,-79.008148,9,0.43,140.3,7.75,2528603,7.75,7.75334,-4.28973,4.2006,0.15012,-0.1014,0.0675,67.02719,30.56124,-67.17335
36.078996,-79.008147,9,0.2,140.3,7.7,2529403,7.7,7.69711,-4.33759,4.14915,0.17272,-0.04261,0.06078,65.71178,34.28822,-65.41946
36.078996,-79.008147,8,0.2,140.9,7.79,2529603,7.79,7.78505,-4.34836,4.15394,0.15058,-0.05757,0.10476,65.37562,35.28208,-64.86407
36.078998,-79.00815,8,0.44,140.9,7.81,2530403,7.81,7.80539,-4.30529,4.07617,0.14783,-0.06704,0.08827,65.15639,38.05905,-63.54867
36.078998,-79.00815,8,0.44,141.2,7.69,2530603,7.69,7.69472,-4.29272,4.12941,0.14859,-0.11423,0.03574,64.58638,39.06752,-63.66559
36.078996,-79.008153,8,0.7,141.2,7.79,2531403,7.79,7.79043,-4.35613,4.09532,0.11683,-0.11148,0.09514,64.30868,42.06372,-60.75709
36.078996,-79.008153,8,0.7,141.6,7.71,2531603,7.71,7.70967,-4.25324,4.16291,0.14371,-0.06506,0.08491,64.16253,42.70681,-60.114
36.078995,-79.008153,8,0.31,141.6,7.72,2532403,7.72,7.71925,-4.31007,4.17548,0.15638,-0.02062,0.07468,64.00175,44.35838,-57.76089
36.078995,-79.008153,8,0.31,141.9,7.83,2532603,7.83,7.82752,-4.30469,4.04686,0.12889,-0.08476,0.04444,64.25022,45.08916,-56.47472
36.078993,-79.008154,8,0.26,141.9,7.81,2533403,7.81,7.81316,-4.27119,4.10369,0.11209,-0.08705,0.06704,64.39638,46.30225,-54.61853
36.078993,-79.008154,9,0.26,142.2,7.75,2533603,7.75,7.74676,-4.33998,4.19881,0.11912,-0.08002,0.06674,64.2356,46.87226,-54.1216
36.078992,-79.008155,9,0.35,142.2,7.78,2534403,7.78,7.77787,-4.2688,4.13839,0.15119,-0.01359,0.02214,65.77025,47.70535,-51.69541
