east_m,north_m,vx_pred,vz_pred,vx_std,vz_std,speed_pred,speed_std
-142.400530,-363.681521,-0.046410,-0.141474,0.460751,0.256541,0.148892,0.282923
-138.303121,-363.681521,-0.046424,-0.141474,0.460751,0.256541,0.148896,0.282936
-134.205712,-363.681521,-0.046445,-0.141474,0.460751,0.256541,0.148903,0.282957
-130.108302,-363.681521,-0.046478,-0.141474,0.460751,0.256541,0.148913,0.282989
-126.010893,-363.681521,-0.046528,-0.141474,0.460751,0.256541,0.148929,0.283038
-121.913484,-363.681521,-0.046603,-0.141474,0.460751,0.256541,0.148952,0.283111
-117.816074,-363.681521,-0.046714,-0.141474,0.460751,0.256541,0.148987,0.283221
-113.718665,-363.681521,-0.046876,-0.141474,0.460751,0.256541,0.149037,0.283380
-109.621256,-363.681521,-0.047106,-0.141473,0.460750,0.256541,0.149109,0.283606
-105.523847,-363.681521,-0.047425,-0.141472,0.460749,0.256541,0.149209,0.283921
-101.426437,-363.681521,-0.047850,-0.141469,0.460746,0.256541,0.149342,0.284342
-97.329028,-363.681521,-0.048395,-0.141464,0.460741,0.256541,0.149513,0.284885
-93.231619,-363.681521,-0.049055,-0.141455,0.460731,0.256541,0.149720,0.285546
-89.134210,-363.681521,-0.049795,-0.141441,0.460714,0.256541,0.149950,0.286292
-85.036800,-363.681521,-0.050533,-0.141418,0.460684,0.256541,0.150175,0.287040
-80.939391,-363.681521,-0.051128,-0.141385,0.460639,0.256541,0.150345,0.287649
-76.841982,-363.681521,-0.051382,-0.141343,0.460575,0.256541,0.150392,0.287910
-72.744572,-363.681521,-0.051061,-0.141296,0.460495,0.256541,0.150239,0.287586
-68.647163,-363.681521,-0.049955,-0.141255,0.460406,0.256541,0.149828,0.286464
-64.549754,-363.681521,-0.047942,-0.141231,0.460324,0.256541,0.149147,0.284443
-60.452345,-363.681521,-0.045053,-0.141234,0.460261,0.256541,0.148246,0.281603
-56.354935,-363.681521,-0.041486,-0.141267,0.460223,0.256541,0.147233,0.278216
-52.257526,-363.681521,-0.037568,-0.141323,0.460204,0.256541,0.146231,0.274678
-48.160117,-363.681521,-0.033679,-0.141392,0.460190,0.256541,0.145347,0.271386
-44.062708,-363.681521,-0.030179,-0.141458,0.460169,0.256541,0.144641,0.268639
-39.965298,-363.681521,-0.027365,-0.141510,0.460146,0.256541,0.144131,0.266596
-35.867889,-363.681521,-0.025449,-0.141540,0.460133,0.256541,0.143809,0.265297
-31.770480,-363.681521,-0.024551,-0.141547,0.460147,0.256541,0.143660,0.264717
-27.673071,-363.681521,-0.024696,-0.141539,0.460195,0.256541,0.143677,0.264813
-23.575661,-363.681521,-0.025805,-0.141524,0.460272,0.256541,0.143857,0.265542
-19.478252,-363.681521,-0.027695,-0.141510,0.460366,0.256541,0.144195,0.266841
-15.380843,-363.681521,-0.030110,-0.141499,0.460461,0.256541,0.144667,0.268602
-11.283433,-363.681521,-0.032763,-0.141492,0.460546,0.256541,0.145236,0.270662
-7.186024,-363.681521,-0.035395,-0.141487,0.460615,0.256541,0.145847,0.272825
-3.088615,-363.681521,-0.037811,-0.141483,0.460666,0.256541,0.146448,0.274904
1.008794,-363.681521,-0.039893,-0.141480,0.460701,0.256541,0.146997,0.276764
5.106204,-363.681521,-0.041600,-0.141478,0.460723,0.256541,0.147467,0.278330
9.203613,-363.681521,-0.042940,-0.141476,0.460736,0.256541,0.147849,0.279585
13.301022,-363.681521,-0.043955,-0.141475,0.460743,0.256541,0.148146,0.280549
17.398431,-363.681521,-0.044703,-0.141475,0.460747,0.256541,0.148369,0.281265
-142.400530,-353.131770,-0.046424,-0.141474,0.460751,0.256541,0.148896,0.282936
-138.303121,-353.131770,-0.046447,-0.141474,0.460751,0.256541,0.148903,0.282959
