Lat,Lon,Sats,Speed,GPS_Alt,Dist,Time,Alt,AX,AY,AZ,GX,GY,GZ,MX,MY,MZ,speed_ms,time_s,dt_s,east_raw,north_raw,east_ekf,north_ekf,vx_ekf,vz_ekf,east_rts,north_rts,east_smooth,north_smooth,Lat_smooth,Lon_smooth
36.078989,-79.007963,6,0.13,140.0,-1.77,85603,-1.77,-1.76949,1.83649,9.95295,-0.02596,0.00535,-0.01023,42.6922,20.72493,-81.89127,0.0581135449262405,0.0,0.7999999999999545,0.0,0.0,0.0,0.0,0.0,0.0,-0.6199891470568404,-0.21782754998924658,-0.5998910959085937,-0.22885969310470464,36.07898694181533,-79.00796967521764
36.07899,-79.007968,7,0.06,137.3,-1.79,86603,-1.79,-1.79462,1.82453,9.90389,-0.02337,0.00886,-0.00565,42.18065,20.66647,-81.17509,0.026821636119803306,1.0,1.0,-0.4493419752123932,0.11119492637690076,-0.3744828373177838,0.09267015730119885,-0.1871478447365236,0.04631192268925479,-0.7343802828445488,-0.3368891218379497,-0.6924507337018792,-0.3435106429524924,36.078985910734566,-79.00797070516413
36.078988,-79.007968,7,0.13,136.5,-1.81,87603,-1.81,-1.80658,1.82513,9.88296,-0.01894,0.01161,-0.01054,43.14528,20.54955,-81.86203,0.0581135449262405,2.0,1.0,-0.4493419752123932,-0.11119492637690076,-0.4373263736903104,-0.060614687873602524,-0.08120880420634695,-0.08166978745418299,-0.8444218343971757,-0.45608106575028434,-0.8045222086886158,-0.4437513674011669,36.07898500924808,-79.00797195222628
36.07899,-79.007969,7,0.06,137.3,-1.76,88603,-1.76,-1.76411,1.8,9.94995,-0.04078,0.0026,-0.00672,42.25373,19.68723,-81.33587,0.026821636119803306,3.0,1.0,-0.539210370712202,0.11119492637690076,-0.49687944941769724,0.05043575250502183,-0.05639439599391574,0.01676690027790939,-0.9370630564322306,-0.5617650102488838,-0.931968012202802,-0.5319915452812399,36.07898421568509,-79.00797337036448
36.078984,-79.007969,7,0.0,137.3,-1.87,89603,-1.87,-1.87298,1.78923,9.87996,-0.01848,-0.00214,-0.011,42.63373,21.14879,-81.39433,0.0,4.0,1.0,-0.539210370712202,-0.55597463329915,-0.525469011852223,-0.15372812740252104,-0.015545274586156885,-0.030614846695473187,-0.998241190225205,-0.6304985036663863,-1.0706506355784358,-0.6106408554232234,36.078983508374854,-79.00797491353906
36.07898,-79.007969,7,0.02,136.6,-1.85,90603,-1.85,-1.84546,1.87418,9.83869,-0.02596,0.00596,-0.01069,42.09296,20.52032,-81.89127,0.008940545373267769,5.0,1.0,-0.539210370712202,-1.000754339514076,-0.5350132697804086,-0.37984005751144584,-0.0018141423594782418,-0.02141172552596425,-1.0795214928211625,-0.7070004164679236,-1.2164325701495153,-0.6821089766576292,36.078982865646594,-79.0079765357104
36.078983,-79.00797,7,0.07,135.8,-1.81,91603,-1.81,-1.81316,1.80957,9.92782,-0.01604,0.01237,-0.01115,42.63373,20.85647,-81.74511,0.031291908806437195,6.0,1.0,-0.6290787650686854,-0.6671695596760507,-0.5514013751957043,-0.4640471073910107,-0.00044539153451738094,-0.03018947852567467,-1.2380673078087592,-0.719457661123744,-1.3651763072500387,-0.7488055878149691,36.07898226582956,-79.00797819083884
36.078987,-79.007976,7,0.18,134.7,-1.87,92603,-1.87,-1.87059,1.87896,9.94457,-0.02306,0.00947,-0.00855,42.54604,20.44724,-80.7074,0.08046490835940992,7.0,1.0,-1.1682891357808876,-0.2223898534611246,-0.7003004563991336,-0.4428847394742297,-0.037272642042486634,-0.06462552893781605,-1.4778015503546185,-0.7572637149664164,-1.5127443382140042,-0.8131403677257547,36.078981687252984,-79.00797983288476
36.078988,-79.007982,7,0.05,134.6,-1.82,93603,-1.82,-1.81974,1.87418,9.91586,-0.02932,0.01329,-0.01161,42.19526,20.27185,-81.11664,0.022351363433169423,8.0,1.0,-1.7074995064930896,-0.11119492637690076,-0.9724099974020579,-0.4105971977974483,-0.06481776434519945,-0.011513598095157389,-1.728425004558193,-0.8319036429226228,-1.6549991543754101,-0.8775229952204981,36.078981108246104,-79.0079814158085
36.078983,-79.007987,7,0.22,132.7,-1.84,94603,-1.84,-1.83829,1.87478,9.96551,-0.01924,0.01252,-0.00916,42.34142,20.88571,-82.57819,0.09834599910594546,9.0,1.0,-2.156841482848808,-0.6671695596760507,-1.3303263918467159,-0.4232123410802529,-0.10947018002617494,0.012217653038799896,-1.9079127462844796,-0.8817035537957052,-1.7878032470682543,-0.9443631491297112,36.07898050713816,-79.00798289357041
36.078976,-79.007992,7,0.07,130.1,-1.83,95603,-1.83,-1.8347,1.84427,9.82852,-0.01665,0.0139,-0.01115,42.38527,20.5057,-80.95586,0.031291908806437195,10.0,1.0,-2.6061834592045265,-1.4455340464363253,-1.6135599425718374,-0.5960957119045508,-0.05761499228339886,-0.03700337156404882,-2.0345558046853323,-1.0137540673686036,-1.9070191076265115,-1.0160705082838923,36.078979862258386,-79.0079842201309
36.078976,-79.007993,7,0.03,129.6,-1.83,96603,-1.83,-1.82812,1.88435,9.90569,-0.02046,0.0139,-0.01023,42.47296,20.63724,-81.35048,0.013410818059901653,11.0,1.0,-2.69605185356101,-1.4455340464363253,-1.831122990602881,-0.7424121431066537,-0.024184690868651403,-0.023327964110008096,-2.1124309768077634,-1.1692934328731035,-1.9974609509370798,-1.100731897945946,36.07897910088022,-79.00798522651186
36.078971,-79.007993,7,0.01,128.9,-1.84,97603,-1.84,-1.83829,1.86939,9.89911,-0.02611,0.01222,-0.01252,42.67758,20.33031,-81.52587,0.004470272686633884,12.0,1.0,-2.69605185356101,-2.001508679028152,-1.9464668738419495,-1.0150128523174478,0.015457939136506976,-0.04525610298848663,-2.1270146162124335,-1.2828970063251843,-2.0577458705497342,-1.2012203947062454,36.078978197165455,-79.00798589732523
36.078972,-79.007993,6,0.06,129.1,-1.82,98603,-1.82,-1.81855,1.86042,9.87219,-0.02184,0.01374,-0.00733,42.07834,20.82724,-79.80122,0.026821636119803306,13.0,1.0,-2.69605185356101,-1.8903137526512515,-2.041242713116104,-1.1861921785057208,-0.000333561430202918,-0.03572441372171496,-2.121750940195654,-1.3575059149083406,-2.084921356773199,-1.3154571929410146,36.07897716980925,-79.00798619971725
36.078975,-79.007992,6,0.02,129.8,-1.82,99603,-1.82,-1.81675,1.88255,9.93679,-0.02352,0.01176,-0.00687,41.84449,20.52032,-81.33587,0.008940545373267769,14.0,1.0,-2.6061834592045265,-1.556728972813226,-2.1405932993829433,-1.2585273716156447,-0.020096491867190234,-0.01775341556467502,-2.120093991460744,-1.411624700994399,-2.0802207943364417,-1.4434490889972218,36.078976018750474,-79.0079861474123
36.078974,-79.007989,7,0.05,130.5,-1.83,100603,-1.83,-1.83051,1.90588,9.97987,-0.02688,0.01497,-0.00993,42.23911,20.228,-80.98509,0.022351363433169423,15.0,1.0,-2.3365782727051005,-1.6679238991901268,-2.183823609478357,-1.3380769734863256,-0.0192135361055808,-0.016682564526579638,-2.089215944653429,-1.4680632072493187,-2.0455368932006213,-1.5875324696057458,36.0789747229775,-79.00798576147126
36.078975,-79.007988,7,0.21,130.8,-1.79,101603,-1.79,-1.78983,1.87119,9.95833,-0.03329,0.00473,-0.01191,42.32681,20.98802,-81.16048,0.09387572641931156,16.0,1.0,-2.246709878348617,-1.556728972813226,-2.2273521204500213,-1.3955445478022117,-0.0575782902951638,-0.050096780880440575,-2.0247816921030415,-1.5985336295592547,-1.9867787843697187,-1.748061195311931,36.07897327930799,-79.00798510764731
36.078977,-79.007987,7,0.26,130.0,-1.8,102603,-1.8,-1.80359,1.87837,9.96072,-0.02749,0.00733,-0.01374,42.51681,20.60801,-81.67203,0.116227089852481,17.0,1.0,-2.156841482848808,-1.3343391193521015,-2.2710247475783736,-1.438132251728324,-0.07841025322601408,-0.06984574156447881,-1.949527871778799,-1.809515441554442,-1.910368048621611,-1.9177414262578372,36.07897175333701,-79.00798425739583
36.078976,-79.007985,7,0.15,130.3,-1.82,103603,-1.82,-1.82453,1.86281,9.84706,-0.02535,0.0058,-0.0084,42.6045,20.65186,-81.48203,0.06705409029950826,18.0,1.0,-1.977104692992516,-1.4455340464363253,-2.256753622070261,-1.5272385414063547,-0.042348136303151235,-0.06734503632153294,-1.849966585723879,-2.0703386096935814,-1.8225273068298953,-2.0945250751819153,36.078970163483454,-79.00798327995831
36.078976,-79.007984,7,0.05,130.7,-1.85,104603,-1.85,-1.85384,1.867,9.9338,-0.02825,0.01298,-0.00886,42.42912,20.38877,-81.68664,0.022351363433169423,19.0,1.0,-1.8872362963493818,-1.4455340464363253,-2.227922942986799,-1.5727284838074276,-0.017432672638442483,-0.0324495332965547,-1.7056751304274975,-2.327023693690619,-1.730372775038868,-2.2761355895539213,36.07896853022086,-79.00798225451959
36.078975,-79.007984,7,0.02,130.8,-1.86,105603,-1.86,-1.85863,1.88554,9.88176,-0.02749,0.01038,-0.00855,42.63373,20.18416,-81.40895,0.008940545373267769,20.0,1.0,-1.8872362963493818,-1.556728972813226,-2.154212755394203,-1.6302015234000709,0.012817408634341755,-0.02565498560932753,-1.522153885107844,-2.5301410980409225,-1.6381777558160768,-2.457556089984172,36.078966898667105,-79.00798122863036
