Lat,Lon,Sats,Speed,GPS_Alt,Dist,Time,Alt,AX,AY,AZ,GX,GY,GZ,MX,MY,MZ,speed_ms,time_s,dt_s,east_raw,north_raw,east_ekf,north_ekf,vx_ekf,vz_ekf,east_rts,north_rts,east_smooth,north_smooth,Lat_smooth,Lon_smooth
36.078976,-79.008135,9,0.1,137.7,7.73,2514603,7.73,7.72762,-4.27717,4.10728,0.27122,-0.1095,0.09743,73.89652,45.57147,-34.47822,0.044702726866338846,0.0,0.7999999999997272,-15.457363964227543,-1.4455340464363253,-15.457363964227543,-1.4455340464363253,0.0,0.0,-15.497257274785895,-1.630650788059636,-15.543496292222477,-1.6153861514716326,36.078974472483324,-79.00813595842735
36.078978,-79.008135,9,0.21,137.7,7.71,2515403,7.71,7.70668,-4.32981,4.08634,0.25595,-0.15501,0.09484,76.79041,41.6691,-30.7074,0.09387572641931156,0.7999999999997272,0.7999999999997272,-15.457363964227543,-1.2231441929752007,-15.457363964227543,-1.2667286816496097,0.0,0.08716897734878835,-15.604379234177905,-1.568660553400905,-15.590187990408435,-1.5714302785983452,36.078974867787984,-79.00813647798373
36.078978,-79.008135,9,0.21,138.0,7.74,2515603,7.74,7.74138,-4.29871,4.12343,0.23839,-0.09942,0.19105,77.87196,39.84215,-30.25431,0.09387572641931156,1.0,0.20000000000027285,-15.457363964227543,-1.2231441929752007,-15.457363964227543,-1.2366866858462806,0.0,0.09389903950565608,-15.631761058052058,-1.553713998028379,-15.641710603965267,-1.5367007246663367,36.07897518011836,-79.00813705129555
36.078978,-79.008139,9,0.25,138.0,7.79,2516403,7.79,7.78684,-4.25384,4.14975,0.26221,-0.17654,0.04841,80.64893,35.16515,-28.86583,0.11175681716584711,1.7999999999997272,0.7999999999997272,-15.816837545083454,-1.2231441929752007,-15.69901441849992,-1.1769167294844096,-0.18396358114160197,0.1071333333247885,-15.740665664923291,-1.4881227252342595,-15.697695536435095,-1.5095585589529963,36.07897542421372,-79.0081376742613
36.078978,-79.008139,9,0.25,138.0,7.69,2516603,7.69,7.68515,-4.39262,4.0684,0.26237,-0.07926,0.14798,81.39433,33.92283,-28.44198,0.11175681716584711,2.0,0.20000000000027285,-15.816837545083454,-1.2231441929752007,-15.683898245022597,-1.1718084810467189,-0.07452994717063594,0.10165631342122033,-15.767025379627885,-1.4737391209051465,-15.75777419136004,-1.488364850735713,36.078975614813324,-79.00813834277947
36.078976,-79.008142,9,0.22,138.0,7.77,2517403,7.77,7.76531,-4.34716,4.12762,0.19807,-0.0985,0.25549,84.27361,28.17889,-28.17889,0.09834599910594546,2.799999999999727,0.7999999999997272,-16.086442730439554,-1.4455340464363253,-15.829285074763293,-1.1747845306127165,-0.08189229026367699,0.06927446568733155,-15.864101631330882,-1.4483783285072829,-15.821577972282224,-1.4714806692918763,36.07897576665641,-79.00813905274855
36.078976,-79.008142,9,0.22,138.4,7.77,2517603,7.77,7.7689,-4.17488,4.15454,0.29215,-0.08125,0.05544,85.26746,26.17656,-28.82198,0.09834599910594546,3.0,0.20000000000027285,-16.086442730439554,-1.4455340464363253,-15.896212474781825,-1.2145486224422353,-0.08580360834849506,0.05550241188956894,-15.889416994493628,-1.447036931607437,-15.888738282743764,-1.4572670838988748,36.078975894482255,-79.008139800067
36.078973,-79.008145,9,0.31,138.4,7.86,2518403,7.86,7.85504,-4.32503,4.07079,0.25168,-0.11637,0.08323,86.87518,21.22186,-28.98275,0.1385784532856504,3.799999999999727,0.7999999999997272,-16.356047915795653,-1.7791188262743507,-16.083125650780946,-1.3075991528345219,-0.1450919359571922,0.017789677596089577,-15.990190448167514,-1.4443050573821037,-15.958886526286786,-1.4440851638340984,36.078976013030115,-79.00814058063334
36.078973,-79.008145,9,0.31,138.6,7.68,2518603,7.68,7.68395,-4.34297,4.11207,0.23335,-0.18402,0.04811,86.90441,20.95878,-30.32739,0.1385784532856504,4.0,0.20000000000027285,-16.356047915795653,-1.7791188262743507,-16.16462452528967,-1.3870160643513432,-0.1451892530568045,-0.003762203555323713,-16.015835772859056,-1.4423236239662458,-16.03165410645341,-1.4302959783749356,36.07897613703924,-79.00814139034603
36.078972,-79.008145,9,0.22,138.6,7.85,2519403,7.85,7.85265,-4.42433,4.10967,0.17379,-0.14676,0.2219,87.50365,16.60333,-32.62204,0.09834599910594546,4.799999999999727,0.7999999999997272,-16.356047915795653,-1.8903137526512515,-16.29843161840993,-1.4804257280895794,-0.11186287362958154,-0.027022475008524272,-16.113512288408643,-1.4228656927860872,-16.106672426785753,-1.4142605967987758,36.07897628124889,-79.00814222510357
